SIFARNIK,AOP,column_name,metric_label_hr,metric_label_en,metric_label_de,VRSTA,exists_in_db_afs
61,98,b098,Obveze prema društvima povezanim sudjelujućim interesom,Liabilities towards companies linked by virtue of participating interest,"Verbindlichkeiten gegenüber Gesellschaften, mit denen ein Beteiligungsverhältnis besteht",00,1
61,99,b099,"Obveze za zajmove, depozite i slično društava povezanih sudjelujućim interesom","Loan, deposit etc. liabilities of companies linked by virtue of participating interest","Verbindlichkeiten für Darlehen, Einlagen und dgl. von Gesellschaften, mit denen ein Beteiligungsverhältnis besteht",00,1
61,100,b100,"Obveze za zajmove, depozite i slično","Liabilities for loans, deposit and similar","Verbindlichkeit gegenüber Darlehen, Depositen und Ähnlichem",00,1
61,101,b101,Obveze prema bankama i drugim financijskim institucijama,Liabilities payable to banks and other financial institutions,Verbindlichkeiten gegenüber Banken und anderen Finanzinstitutionen,00,1
61,102,b102,Obveze za predujmove,Liabilities out of prepayments,Verbindlichkeiten aus Vorschüssen,00,1
61,103,b103,Obveze prema dobavljačima,Accounts payables,Verbindlichkeiten aus Lieferungen,00,1
61,104,b104,Obveze po vrijednosnim papirima,Liabilities payable for securities,Verbindlichkeiten aus Wechseln,00,1
61,105,b105,Ostale dugoročne obveze,Other long - term liabilities,Sonstige langfristige Verbindlichkeiten,00,1
61,106,b106,Odgođena porezna obveza,Deferred tax liabilities,Latente Steuerpflicht,00,1
61,107,b107,KRATKOROČNE OBVEZE (AOP 108 do 121),CURRENT LIABILITIES (EDV 108 to 121),KURZFRISTIGE VERBINDLICHKEITEN (EDP 108 to 121),00,1
61,108,b108,Obveze prema poduzetnicima unutar grupe,Liabilities towards entities within a group,Verbindlichkeiten gegenüber verbundenen Unternehmen,00,1
61,109,b109,"Obveze za zajmove, depozite i slično poduzetnika unutar grupe","Loan, deposit etc. liabilities of entities within a group","Verbindlichkeiten für Darlehen, Einlagen und dgl. verbundener Unternehmen",00,1
61,110,b110,Obveze prema društvima povezanim sudjelujućim interesom,Liabilities towards companies linked by virtue of participating interest,"Verbindlichkeiten gegenüber Gesellschaften, mit denen ein Beteiligungsverhältnis besteht",00,1
61,111,b111,"Obveze za zajmove, depozite i slično društava povezanih sudjelujućim interesom","Loan, deposit etc. liabilities of companies linked by virtue of participating interest","Verbindlichkeiten für Darlehen, Einlagen und dgl. von Gesellschaften, mit denen ein Beteiligungsverhältnis besteht",00,1
61,112,b112,"Obveze za zajmove, depozite i slično","Liabilities payable for loans, deposit and similar","Verbindlichkeit aus Darlehen, Depositen und Ähnlichem",00,1
61,113,b113,Obveze prema bankama i drugim financijskim institucijama,Liabilities payable to banks and other financial institutions,Verbindlichkeiten gegenüber Banken und anderen Finanzinstitutionen,00,1
